ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
600519.SH,2017-10-27,602.11,655.0,600.03,649.63,605.09,44.54,7.36,84383.79,5284485.766
600519.SH,2017-10-30,643.05,644.0,621.0,622.08,649.63,-27.55,-4.24,81007.86,5099041.7469999995
600519.SH,2017-10-31,622.01,627.6,611.88,618.03,622.08,-4.05,-0.65,51875.68,3206280.6
600519.SH,2017-11-01,620.88,631.54,619.22,623.01,618.03,4.98,0.81,43435.25,2712016.939
600519.SH,2017-11-02,626.95,629.78,621.0,626.92,623.01,3.91,0.63,34249.73,2144671.943
600519.SH,2017-11-03,628.65,643.44,628.65,639.17,626.92,12.25,1.95,48188.97,3075651.167
600519.SH,2017-11-06,641.5,657.62,640.2,653.06,639.17,13.89,2.17,48513.98,3153638.704
600519.SH,2017-11-07,650.58,657.15,638.18,642.07,653.06,-10.99,-1.68,55564.85,3592238.4069999997
600519.SH,2017-11-08,642.33,654.5,642.33,650.38,642.07,8.31,1.29,43951.94,2855374.07
600519.SH,2017-11-09,648.0,654.15,644.61,650.07,650.38,-0.31,-0.05,33641.13,2183815.39
600519.SH,2017-11-10,650.43,683.4,650.43,677.95,650.07,27.88,4.29,74078.6,4967970.73
600519.SH,2017-11-13,680.0,692.78,675.8,687.88,677.95,9.93,1.46,49869.84,3402794.002
600519.SH,2017-11-14,687.14,687.22,677.35,678.75,687.88,-9.13,-1.33,46366.71,3159112.664
600519.SH,2017-11-15,678.75,689.99,674.0,688.08,678.75,9.33,1.37,45036.33,3074244.0810000002
600519.SH,2017-11-16,686.01,719.96,686.01,719.11,688.08,31.03,4.51,60716.32,4299283.186000001
600519.SH,2017-11-17,696.0,709.0,677.77,690.25,719.11,-28.86,-4.01,123861.24,8548747.991
600519.SH,2017-11-20,676.8,685.6,660.0,679.15,690.25,-11.1,-1.61,88305.82,5954131.851
600519.SH,2017-11-21,669.0,688.8,662.02,677.25,679.15,-1.9,-0.28,96016.51,6491134.446
600519.SH,2017-11-22,677.0,688.0,650.0,650.52,677.25,-26.73,-3.95,128498.26,8528143.402999999
600519.SH,2017-11-23,642.0,646.0,630.22,633.73,650.52,-16.79,-2.58,109599.13,6984097.475
600519.SH,2017-11-24,635.9,642.5,622.23,630.04,633.73,-3.69,-0.58,76541.94,4835808.966
600519.SH,2017-11-27,634.0,636.33,613.01,621.29,630.04,-8.75,-1.39,63548.46,3975262.0239999997
600519.SH,2017-11-28,625.06,648.88,624.0,648.23,621.29,26.94,4.34,70291.83,4491543.613
600519.SH,2017-11-29,649.94,651.97,634.01,638.12,648.23,-10.11,-1.56,46763.72,3005733.412
600519.SH,2017-11-30,635.51,648.48,626.0,631.0,638.12,-7.12,-1.12,38019.62,2419959.8540000003
600519.SH,2017-12-01,638.01,638.99,620.13,622.35,631.0,-8.65,-1.37,47192.74,2959772.0089999996
600519.SH,2017-12-04,623.95,644.1,616.72,637.79,622.35,15.44,2.48,54267.71,3436687.377
600519.SH,2017-12-05,634.0,647.4,630.13,632.96,637.79,-4.83,-0.76,47465.76,3026076.465
600519.SH,2017-12-06,631.5,644.1,620.0,625.01,632.96,-7.95,-1.26,58174.09,3657236.582
600519.SH,2017-12-07,624.95,624.99,615.26,616.69,625.01,-8.32,-1.33,51032.62,3155212.01
600519.SH,2017-12-08,615.42,628.85,615.42,627.28,616.69,10.59,1.72,45503.39,2842464.437
600519.SH,2017-12-11,631.0,651.95,631.0,650.99,627.28,23.71,3.78,72849.17,4702239.221
600519.SH,2017-12-12,658.7,658.77,651.02,651.32,650.99,0.33,0.05,47889.31,3138650.3060000003
600519.SH,2017-12-13,654.99,670.0,650.72,668.21,651.32,16.89,2.59,48502.48,3197982.045
600519.SH,2017-12-14,669.98,671.3,660.5,664.55,668.21,-3.66,-0.55,31967.94,2126665.894
600519.SH,2017-12-15,664.0,667.95,650.78,653.79,664.55,-10.76,-1.62,32255.95,2126579.404
600519.SH,2017-12-18,660.0,669.8,658.58,665.77,653.79,11.98,1.83,39162.28,2599749.872
600519.SH,2017-12-19,663.0,672.44,661.0,667.09,665.77,1.32,0.2,44072.21,2944470.867
600519.SH,2017-12-20,669.9,686.86,664.03,684.91,667.09,17.82,2.67,63601.31,4321305.755
600519.SH,2017-12-21,683.0,687.42,675.5,681.74,684.91,-3.17,-0.46,46680.38,3178595.8389999997
600519.SH,2017-12-22,680.0,685.9,677.01,682.92,681.74,1.18,0.17,28317.01,1930315.469
600519.SH,2017-12-25,686.0,696.3,683.72,688.12,682.92,5.2,0.76,36214.28,2497653.982
600519.SH,2017-12-26,688.18,692.99,676.5,680.81,688.12,-7.31,-1.06,31867.66,2174103.2819999997
600519.SH,2017-12-27,684.86,684.86,662.5,664.18,680.81,-16.63,-2.44,37722.05,2539720.696
